age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
8,4,21421,0,5,4,3,1,4,1,0,0,39,39,0
14,4,16313,15,9,2,6,0,4,1,0,0,39,39,0
47,0,14882,3,1,0,0,1,4,1,0,0,39,39,0
73,4,2073,11,8,4,8,1,2,1,0,70,39,39,0
37,4,13295,11,8,2,1,0,2,1,0,0,19,39,0
36,2,9173,13,0,4,7,1,4,0,0,0,34,39,0
1,4,20663,11,8,4,12,3,4,0,0,0,39,39,0
43,0,138,0,5,0,0,1,0,0,0,0,9,39,0
49,6,12055,11,8,2,5,0,4,1,12,0,49,39,0
58,4,24494,8,10,6,1,1,4,0,0,0,19,4,0
48,4,13316,11,8,0,1,1,4,0,0,0,39,39,0
18,4,28192,1,6,5,14,1,2,1,62,0,39,39,0
24,4,8268,11,8,0,12,4,2,0,0,0,37,39,0
8,4,11129,15,9,4,1,1,4,1,0,0,41,39,0
16,4,6246,15,9,0,3,2,3,0,0,0,39,39,0
11,4,3413,14,14,4,10,1,4,1,0,0,54,39,2
42,7,22280,11,8,2,8,0,4,1,0,0,39,39,0
23,7,12443,15,9,4,1,1,4,0,0,0,37,39,0
24,4,13780,9,12,2,4,0,4,1,0,0,49,20,2
21,2,6702,12,13,2,4,0,4,1,0,0,69,39,2
6,4,6747,11,8,4,14,3,4,1,0,0,39,39,0
23,4,25776,9,12,2,10,0,4,1,0,0,39,39,2
24,6,16067,11,8,2,8,5,4,0,0,0,19,39,0
7,7,22589,7,11,2,11,0,4,1,0,0,49,39,0
3,0,7194,15,9,4,0,3,4,1,0,0,19,39,0
21,4,13695,15,9,0,3,1,4,1,0,41,39,39,0
39,4,17068,11,8,2,1,0,4,1,0,0,34,0,0
41,4,20157,11,8,2,1,0,4,1,0,0,44,39,2
15,4,14342,11,8,4,8,1,4,0,0,0,33,39,0
23,4,17516,7,11,2,13,0,4,1,0,55,59,39,2
28,4,10462,11,8,2,1,0,4,1,0,0,39,0,0
24,4,6425,14,14,2,10,5,4,0,0,0,39,39,2
25,4,26898,9,12,2,1,5,2,0,0,0,39,39,0
42,2,12536,0,5,6,8,4,2,0,0,0,29,39,0
2,2,294,15,9,4,1,3,4,1,0,0,39,39,0
41,4,21695,15,9,4,14,1,4,1,0,0,19,39,0
25,6,24004,11,8,2,5,0,1,1,0,0,39,1,2
3,4,7028,11,8,4,8,3,4,0,0,0,39,39,0
15,4,12689,11,8,5,8,1,4,0,0,0,29,39,0
28,4,14883,8,10,6,4,1,4,0,0,0,44,39,0
33,4,17176,5,3,0,3,1,4,1,0,0,39,39,0
19,4,10149,9,12,0,10,3,4,0,0,0,39,39,0
28,4,4840,11,8,2,12,0,4,1,0,0,59,39,0
0,4,20854,1,6,4,8,3,4,1,0,0,11,39,0
42,4,9756,15,9,2,12,0,4,1,68,0,39,39,0
9,4,26643,1,6,2,3,0,4,1,0,0,39,39,0
20,5,21581,15,9,2,4,0,1,1,0,0,73,37,2
2,0,18651,15,9,4,0,3,4,1,0,0,23,2,0
47,4,48,11,8,2,4,0,4,1,0,0,39,39,2
16,4,14556,9,12,4,10,1,4,0,0,0,44,39,0
16,4,18937,11,8,2,3,5,4,0,0,0,39,39,2
44,4,3052,11,8,2,4,0,4,1,0,0,39,39,2
0,4,15393,6,4,4,8,3,4,1,6,0,23,39,0
33,6,545,12,13,2,5,0,4,1,36,0,94,39,0
10,2,17677,12,13,4,10,3,4,1,0,0,34,39,0
13,4,3074,11,8,0,10,3,4,0,0,0,39,39,0
26,4,27944,11,8,2,6,0,2,1,0,0,39,39,0
27,4,12484,15,9,2,3,0,4,1,95,0,39,39,2
18,4,15242,15,9,4,4,1,4,0,0,0,39,39,0
8,4,15755,15,9,4,13,3,4,0,0,0,39,39,0
7,4,22882,15,9,2,7,5,4,0,95,0,47,39,2
5,4,985,9,12,4,10,1,4,0,0,0,14,11,0
25,2,4800,15,9,2,3,0,4,1,81,0,39,39,2
17,4,13092,7,11,0,12,4,2,0,0,0,44,39,0
43,4,12874,9,12,0,10,1,4,0,0,0,41,39,0
4,4,17320,11,8,4,6,3,4,1,0,0,39,39,0
40,1,27475,12,13,2,12,0,4,1,112,0,39,39,2
24,4,18791,14,14,2,10,0,4,1,0,0,59,39,2
33,4,13284,15,9,0,8,1,4,1,0,0,44,39,0
8,4,26465,9,12,4,4,1,4,0,0,0,39,39,0
33,4,15769,5,3,2,3,0,4,1,0,0,39,7,0
19,4,16662,9,12,2,10,0,4,1,0,0,44,39,0
14,4,8006,11,8,0,10,1,4,0,0,0,39,39,0
12,2,18781,9,12,4,11,1,4,1,0,0,55,39,0
4,4,19784,15,9,4,12,3,4,1,0,0,44,39,0
10,4,21017,9,12,4,13,4,2,0,0,0,39,39,0
48,4,6255,11,8,2,14,0,4,1,0,0,15,39,0
20,5,2456,9,12,0,12,1,4,0,0,0,59,39,0
22,0,10897,12,13,2,0,5,1,0,60,0,39,0,0
7,4,22807,11,8,4,3,3,4,1,0,0,39,39,0
21,4,12288,11,8,0,12,1,4,1,0,0,78,39,0
31,4,9776,9,12,2,1,0,4,1,98,0,39,39,2
4,4,10518,15,9,4,8,1,1,0,0,0,24,39,0
14,4,18532,11,8,2,14,0,4,1,0,0,44,39,2
38,4,20327,11,8,2,12,0,4,1,70,0,39,39,2
7,4,24019,15,9,2,1,5,1,0,0,0,39,25,0
26,4,12792,11,8,0,1,1,4,0,0,0,39,39,0
9,4,15775,7,11,4,13,1,4,1,0,0,44,39,0
29,4,3778,7,11,4,10,1,4,0,0,0,32,39,0
18,4,15757,7,11,2,1,0,4,1,0,0,39,39,2
24,5,991,15,9,2,5,0,4,1,0,0,53,39,2
9,4,2552,9,12,4,12,1,4,1,0,0,39,39,0
17,4,9436,12,13,2,4,0,1,1,95,0,34,36,2
2,0,28492,15,9,4,0,3,2,0,0,0,24,39,0
19,6,17296,9,12,0,10,1,2,0,0,0,39,39,2
5,4,16587,15,9,4,12,3,4,1,0,0,14,39,0
7,4,15495,15,9,4,7,1,4,1,0,0,39,39,0
60,6,9027,15,9,2,12,0,4,1,0,0,39,39,0
5,4,27049,4,2,2,7,2,4,0,0,0,39,26,0
12,4,27443,15,9,4,13,1,4,0,0,0,39,39,0
45,4,11142,11,8,6,8,1,4,0,0,0,23,39,0
22,6,12923,11,8,2,4,0,4,1,0,0,39,39,0
26,4,1977,15,9,2,3,0,4,1,0,19,49,39,0
18,4,14634,11,8,0,14,1,4,1,0,0,44,39,0
12,4,16667,1,6,4,4,1,4,0,0,0,39,39,0
59,6,12924,12,13,2,3,0,4,1,0,0,9,39,0
46,6,3512,11,8,2,5,0,4,1,0,0,44,39,0
6,0,17956,8,10,4,0,3,2,0,0,0,14,39,0
26,4,14895,15,9,2,10,5,4,0,0,50,49,39,2
41,6,24777,11,8,2,6,0,4,1,0,0,39,39,0
49,4,8044,11,8,4,14,1,4,1,24,0,54,39,0
24,4,17414,15,9,4,3,1,2,1,0,0,44,39,0
9,4,19135,9,12,4,1,1,4,1,0,0,39,39,0
30,4,13592,8,10,4,8,1,4,1,0,0,39,39,0
38,2,4873,0,5,2,1,0,4,1,0,0,39,39,0
36,4,20608,11,8,2,14,0,4,1,0,0,39,39,0
0,4,22412,4,2,4,8,2,4,1,0,0,47,26,0
13,4,4509,11,8,4,3,2,4,1,0,0,39,39,0
32,4,3116,12,13,4,10,1,4,1,0,0,59,39,0
2,4,5484,11,8,4,12,4,2,1,0,0,29,14,0
28,4,21813,11,8,2,8,0,2,1,0,0,39,39,0
9,4,4560,7,11,4,12,1,4,1,0,0,39,39,0
21,4,23729,8,10,2,3,0,4,1,95,0,39,39,2
19,7,7209,11,8,2,11,0,4,1,95,0,39,39,2
16,4,3911,11,8,4,5,1,4,1,0,0,19,39,0
5,7,23581,15,9,4,11,3,2,0,0,0,39,39,0
26,6,20563,9,12,4,12,1,4,1,0,0,41,39,0
50,0,1081,1,6,2,0,0,4,1,0,0,7,39,0
13,0,10324,8,10,0,0,4,4,0,0,0,39,39,0
39,4,5158,7,11,3,8,1,4,1,0,0,24,20,0
14,4,10780,9,12,4,10,3,4,1,0,0,24,39,0
16,4,7053,9,12,2,4,0,4,1,0,0,39,39,2
9,4,15544,11,8,2,8,0,4,1,0,0,39,39,0
16,4,6284,9,12,2,4,0,4,1,0,0,39,39,2
29,2,25081,1,6,2,14,0,4,1,0,0,29,39,0
42,0,26466,9,12,2,0,0,4,1,0,0,39,39,2
21,1,4596,11,8,2,1,0,4,1,0,0,39,39,2
48,4,11314,1,6,6,8,4,3,1,0,0,39,39,0
23,4,4667,8,10,2,13,0,4,1,0,0,39,39,2
25,4,6340,11,8,2,1,5,4,0,0,0,34,39,0
9,6,6938,6,4,2,3,0,4,1,0,0,39,32,0
19,4,25782,0,5,2,8,5,4,0,0,0,23,39,0
45,4,22363,12,13,2,10,0,4,1,0,0,39,39,2
26,4,13847,9,12,2,14,0,4,1,0,0,44,39,0
26,4,12966,9,12,0,4,1,4,1,0,23,44,39,2
5,4,27269,11,8,3,12,1,4,1,0,0,54,39,0
11,4,4380,11,8,2,3,0,4,1,0,0,39,39,0
39,6,14208,15,9,2,12,0,4,1,0,0,44,39,0
5,4,26226,7,11,4,12,1,4,0,0,0,14,39,0
40,4,18026,9,12,0,4,1,4,0,0,0,44,39,2
22,4,27967,11,8,0,12,4,4,0,0,0,39,39,0
9,1,14610,15,9,4,1,4,4,0,0,0,14,39,0
0,4,4213,1,6,4,8,3,4,1,0,0,9,39,0
23,7,14356,8,10,2,7,0,4,1,0,0,37,39,2
28,4,21532,11,8,2,7,0,2,1,0,0,39,39,0
27,4,11201,11,8,4,3,1,2,1,0,0,39,39,0
3,2,25882,15,9,4,1,3,4,0,0,0,9,39,0
16,4,22198,11,8,2,3,5,4,0,0,0,39,39,0
6,4,1041,15,9,4,12,1,4,1,0,0,39,39,0
29,6,3645,12,13,0,4,1,4,1,0,0,29,39,0
21,4,12743,11,8,2,12,0,4,1,0,0,49,39,0
37,4,12925,11,8,0,14,1,4,1,0,0,39,39,0
29,4,18277,4,2,0,3,1,4,0,0,77,44,39,0
8,4,25669,15,9,2,3,0,4,1,0,0,39,39,0
29,4,5981,15,9,0,12,1,4,0,0,0,39,39,0
19,2,6961,15,9,2,14,5,4,0,0,0,39,39,0
6,4,26994,11,8,4,8,1,4,0,0,0,24,39,0
12,4,8613,11,8,5,7,1,4,1,0,0,39,39,0
27,4,11377,15,9,2,1,5,4,0,0,81,5,39,2
2,4,192,15,9,4,1,3,4,0,0,0,15,39,0
2,4,19813,11,8,4,8,2,4,0,0,0,39,39,0
18,4,18755,11,8,2,8,5,4,0,0,0,39,39,2
10,4,23926,9,12,4,3,1,4,1,0,0,49,39,0
29,6,22796,7,11,5,3,1,4,1,0,0,39,39,0
17,7,4841,9,12,2,4,0,4,1,98,0,44,0,2
17,4,16083,11,8,4,8,1,4,0,0,0,34,39,0
27,4,6759,15,9,2,13,0,4,1,0,0,39,39,0
28,4,4740,15,9,0,6,4,4,0,0,0,39,39,0
3,0,8882,11,8,4,0,2,4,0,0,0,34,39,0
8,4,4016,9,12,2,4,0,4,1,0,0,54,39,2
35,5,8419,9,12,2,4,0,4,1,0,0,49,39,2
3,4,27352,15,9,4,6,3,4,1,0,0,39,39,0
11,4,5971,15,9,4,8,1,4,0,0,0,39,39,0
33,7,23337,9,12,2,11,0,4,1,0,0,39,39,2
17,4,19423,8,10,0,13,1,4,0,0,0,63,39,0
11,4,11920,5,3,2,6,0,3,1,0,67,39,33,0
24,4,27695,12,13,2,4,0,4,1,0,55,64,39,2
11,4,6153,11,8,2,1,0,4,1,0,0,39,39,0
29,6,24621,11,8,2,3,0,4,1,0,0,24,39,0
11,0,7582,15,9,2,0,5,4,0,0,50,39,39,2
15,4,26273,15,9,2,4,0,4,1,0,0,49,39,0
24,2,1493,15,9,0,8,1,2,0,0,0,23,39,0
7,4,20566,11,8,4,6,4,2,0,0,0,39,39,0
16,4,7108,15,9,0,4,4,4,0,0,0,39,39,0
29,4,14992,10,15,2,4,0,4,1,112,0,59,39,2
14,7,28507,15,9,2,7,0,4,1,0,0,39,39,0
18,4,4387,2,7,0,3,1,4,1,0,0,49,39,2
35,4,15327,3,1,2,7,0,4,1,0,0,39,26,0
13,4,27489,1,6,4,8,3,4,0,0,0,18,39,0
17,2,20712,1,6,5,7,1,2,1,0,0,39,39,0
17,7,20448,11,8,0,14,4,4,0,0,0,39,39,0
3,4,2660,15,9,2,12,0,4,1,0,0,29,39,0
0,4,13034,1,6,4,6,3,4,1,28,0,17,39,0
15,7,4365,9,12,2,4,5,4,0,0,0,39,39,2
12,4,14995,11,8,0,5,1,4,1,0,0,39,39,0
16,4,19496,0,5,4,3,4,4,0,0,0,34,39,0
8,4,8541,11,8,2,14,0,4,1,0,0,59,39,0
19,1,21432,12,13,4,10,1,4,1,0,15,39,39,0
6,4,17195,11,8,4,6,1,4,1,0,0,70,6,0
46,5,18944,11,8,2,4,0,4,1,0,0,39,39,2
30,2,23302,12,13,2,10,0,4,1,0,0,39,39,0
63,0,5881,11,8,6,0,1,4,1,0,0,23,39,0
0,0,16952,1,6,4,0,3,4,1,0,0,39,39,0
23,6,17123,9,12,3,10,1,4,0,27,0,39,39,0
13,4,461,7,11,2,8,5,4,0,0,0,24,39,2
10,4,6841,15,9,4,3,3,1,1,0,56,39,30,0
16,4,17601,12,13,2,10,0,4,1,0,0,49,39,2
17,2,23168,11,8,4,5,1,2,1,3,0,59,39,0
17,2,6926,15,9,4,11,1,4,0,0,0,39,39,0
6,4,3672,15,9,2,1,0,4,1,0,0,39,39,0
25,2,25470,15,9,2,1,5,4,0,0,0,39,39,0
12,4,26258,9,12,4,10,1,4,1,0,0,39,39,0
28,4,1687,11,8,0,1,1,4,0,0,0,27,39,0
7,1,15369,11,8,4,2,3,4,1,0,0,39,39,0
27,4,6878,15,9,2,10,0,4,1,0,0,39,39,2
10,4,27190,6,4,4,3,2,4,1,0,0,39,26,0
3,4,23797,15,9,4,12,1,4,1,0,0,34,39,0
27,4,23444,11,8,6,4,4,2,0,0,0,39,39,0
34,4,2426,11,8,2,3,0,0,1,0,0,39,39,0
